id,job_title,company,tfidf_original,tfidf_baseline,tfidf_resumatch,coverage_original,coverage_baseline,coverage_resumatch,tfidf_gain_vs_original,tfidf_gain_vs_baseline,coverage_gain_vs_original,coverage_gain_vs_baseline,baseline_fabricated_keywords_count,resumatch_fabricated_keywords_count,baseline_fabrication_rate,resumatch_fabrication_rate,notes
1,Data Analytics Intern (Summer 2026),Cloudflare,0.4647,0.5858,0.5651,45.0,60.0,50.0,0.1004,-0.0207,5.0,-10.0,3,2,0.25,0.2,
2,Business Analyst Intern,Stripe,0.3626,0.4998,0.4872,30.0,85.0,55.0,0.1246,-0.0126,25.0,-30.0,11,5,0.6471,0.4545,
3,Data Analyst,Airbnb,0.3742,0.426,0.5076,30.0,40.0,50.0,0.1334,0.0816,20.0,10.0,3,5,0.375,0.5,
4,Financial Analyst Intern,Goldman Sachs,0.4058,0.5535,0.5181,30.0,75.0,65.0,0.1123,-0.0354,35.0,-10.0,9,7,0.6,0.5385,
5,Product Analyst,Notion,0.3449,0.4834,0.4632,45.0,80.0,55.0,0.1183,-0.0202,10.0,-25.0,8,3,0.5,0.2727,
6,Risk Analyst,JPMorgan Chase,0.3516,0.5573,0.4854,35.0,75.0,65.0,0.1338,-0.0719,30.0,-10.0,8,6,0.5333,0.4615,
7,Operations Analyst Intern,Amazon,0.3271,0.428,0.4056,35.0,80.0,60.0,0.0785,-0.0224,25.0,-20.0,9,5,0.5625,0.4167,
8,Accounting Analyst,Deloitte,0.427,0.5823,0.533,55.0,60.0,60.0,0.106,-0.0493,5.0,0.0,2,2,0.1667,0.1667,
9,Data Science Intern,Databricks,0.4346,0.5634,0.5388,40.0,65.0,75.0,0.1042,-0.0246,35.0,10.0,6,8,0.4615,0.5333,
10,Tax Analyst Intern,PwC,0.4192,0.5501,0.53,45.0,55.0,55.0,0.1108,-0.0201,10.0,0.0,4,3,0.3636,0.2727,
11,Business Intelligence Analyst,Figma,0.3617,0.5115,0.4984,35.0,80.0,80.0,0.1367,-0.0131,45.0,0.0,10,10,0.625,0.625,
12,Audit Associate,EY,0.4354,0.592,0.5251,45.0,80.0,55.0,0.0897,-0.0669,10.0,-25.0,7,2,0.4375,0.1818,
13,Strategy Analyst Intern,McKinsey,0.3614,0.4112,0.4542,20.0,75.0,70.0,0.0928,0.043,50.0,-5.0,11,10,0.7333,0.7143,
14,Machine Learning Engineer Intern,Anthropic,0.2811,0.3501,0.2906,40.0,75.0,60.0,0.0095,-0.0595,20.0,-15.0,8,5,0.5333,0.4167,
15,Finance Data Analyst,Coinbase,0.4072,0.5774,0.534,50.0,80.0,70.0,0.1268,-0.0434,20.0,-10.0,6,4,0.375,0.2857,
